,S_No,stname,RAINFALL,MAX_RAINFALL
0,0,ARUNACHAL PRADESH,1.425178,220.81477
1,1,KERALA,0.000119906035,0.59858114
2,2,LADAKH,0.00092237873,18.320324
3,3,ANDHRA PRADESH,0.12589017,32.76818
4,4,TAMIL NADU,0.0031605216,5.474362
5,5,TELANGANA,0.0013448835,1.6463809
6,6,LAKSHADWEEP,0.0,0.0
7,7,PUDUCHERRY,0.019486448,2.2632165
8,8,SIKKIM,3.8514354,94.04273
9,9,HARYANA,0.0,0.0
10,10,NAGALAND,0.038422976,1.2951144
11,11,GUJARAT,0.0,0.0
12,12,GOA,0.0,0.0
13,13,UTTAR PRADESH,0.04566241,69.89658
14,14,WEST BENGAL,3.2935297,36.307674
15,15,DAMAN & DIU,0.0,0.0
16,16,DADRA & NAGAR HAVE,0.0,0.0
17,17,MEGHALAYA,0.0041217846,0.22969715
18,18,RAJASTHAN,0.0,0.0
19,19,JAMMU & KASHMIR,0.0,0.0
20,20,MANIPUR,0.0,0.0
21,21,PUNJAB,0.0,0.0
22,22,ASSAM,1.2085896,220.81477
23,23,MAHARASHTRA,0.00021568507,19.57506
24,24,DELHI,0.0,0.0
25,25,CHHATTISGARH,0.03371759,12.712366
26,26,HIMACHAL PRADESH,0.0,0.0
27,27,UTTARAKHAND,0.0,0.0
28,28,JHARKHAND,0.72663826,28.292925
29,29,TRIPURA,0.000008,0.018911468
30,30,MADHYA PRADESH,0.0,0.0
31,31,MIZORAM,0.0,0.0
32,32,CHANDIGARH,0.0,0.0
33,33,ANDAMAN & NICOBAR,0.22597663,18.761715
34,34,BIHAR,0.030403474,46.42008
35,35,ODISHA,2.2516465,40.36415
36,36,KARNATAKA,0.0,0.0